"","X","user_genome","phylum"
"1",3,"JW012.maxbin.002","pAcidobacteriota"
"2",30,"JW024.maxbin.001","pAcidobacteriota"
"3",64,"JW072.metabat.7","pAcidobacteriota"
"4",65,"JW074.metabat.5","pAcidobacteriota"
"5",70,"JW078.metabat.14","pAcidobacteriota"
"6",71,"JW078.metabat.15","pAcidobacteriota"
"7",94,"JW121.metabat.3","pAcidobacteriota"
"8",98,"JW130.metabat.1","pAcidobacteriota"
"9",99,"JW130.metabat.3","pAcidobacteriota"
"10",103,"JW135.metabat.1","pAcidobacteriota"
"11",104,"JW135.metabat.3","pAcidobacteriota"
"12",105,"JW138.metabat.2","pAcidobacteriota"
"13",106,"JW138.metabat.7","pAcidobacteriota"
"14",110,"JW144.metabat.6","pAcidobacteriota"
"15",115,"JW149.metabat.5","pAcidobacteriota"
"16",124,"JW155.metabat.7","pAcidobacteriota"
"17",125,"JW155.metabat.9","pAcidobacteriota"
"18",127,"JW159.metabat.5","pAcidobacteriota"
"19",1,"JW002.metabat.12","pActinobacteriota"
"20",2,"JW011.metabat.2","pActinobacteriota"
"21",4,"JW013.maxbin.001","pActinobacteriota"
"22",5,"JW013.metabat.14","pActinobacteriota"
"23",11,"JW016.metabat.18","pActinobacteriota"
"24",14,"JW016.metabat.30","pActinobacteriota"
"25",15,"JW016.metabat.35","pActinobacteriota"
"26",18,"JW017.metabat.18","pActinobacteriota"
"27",19,"JW017.metabat.19","pActinobacteriota"
"28",22,"JW018.metabat.12","pActinobacteriota"
"29",23,"JW018.metabat.13","pActinobacteriota"
"30",24,"JW018.metabat.7","pActinobacteriota"
"31",27,"JW022.metabat.5","pActinobacteriota"
"32",29,"JW023.metabat.4","pActinobacteriota"
"33",31,"JW025.metabat.2","pActinobacteriota"
"34",32,"JW026.metabat.4","pActinobacteriota"
"35",34,"JW027.maxbin.001","pActinobacteriota"
"36",35,"JW029.maxbin.001","pActinobacteriota"
"37",42,"JW031.metabat.8","pActinobacteriota"
"38",43,"JW032.maxbin.001","pActinobacteriota"
"39",45,"JW032.metabat.2","pActinobacteriota"
"40",52,"JW036.metabat.9","pActinobacteriota"
"41",54,"JW040.metabat.11","pActinobacteriota"
"42",56,"JW044.metabat.15","pActinobacteriota"
"43",57,"JW045.metabat.7","pActinobacteriota"
"44",60,"JW048.maxbin.001_sub","pActinobacteriota"
