"","user_genome","Domain","phylum","class","order","family","genus","species"
"1","JW003.metabat.1","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gNitrososphaera","s"
"2","JW031.metabat.14","dArchaea","pHalobacteriota","cHalobacteria","oHalobacteriales","fHalococcaceae","gHalococcus","s"
"3","JW057.metabat.1","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gTH5893","s"
"4","JW058.maxbin.002","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gNitrososphaera","s"
"5","JW058.metabat.5","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gTH5893","s"
"6","JW062.metabat.4","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gNitrososphaera","s"
"7","JW071.metabat.6","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gNitrososphaera","s"
"8","JW072.maxbin.002","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gNitrososphaera","s"
"9","JW074.metabat.1","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gNitrososphaera","s"
"10","JW077.maxbin.001","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gNitrososphaera","s"
"11","JW128.maxbin.002","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","g","s"
"12","JW129.metabat.5","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gTH5893","s"
"13","JW129.metabat.7","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","gTH5893","s"
"14","JW144.metabat.7","dArchaea","pThermoproteota","cNitrososphaeria","oNitrososphaerales","fNitrososphaeraceae","g","s"
