"","user_genome","phylum"
"1","JW003.metabat.1","pThermoproteota"
"2","JW031.metabat.14","pHalobacteriota"
"3","JW057.metabat.1","pThermoproteota"
"4","JW058.maxbin.002","pThermoproteota"
"5","JW058.metabat.5","pThermoproteota"
"6","JW062.metabat.4","pThermoproteota"
"7","JW071.metabat.6","pThermoproteota"
"8","JW072.maxbin.002","pThermoproteota"
"9","JW074.metabat.1","pThermoproteota"
"10","JW077.maxbin.001","pThermoproteota"
"11","JW128.maxbin.002","pThermoproteota"
"12","JW129.metabat.5","pThermoproteota"
"13","JW129.metabat.7","pThermoproteota"
"14","JW144.metabat.7","pThermoproteota"
