"","user_genome","phylum"
"3","JW012.maxbin.002","pAcidobacteriota"
"30","JW024.maxbin.001","pAcidobacteriota"
"64","JW072.metabat.7","pAcidobacteriota"
"65","JW074.metabat.5","pAcidobacteriota"
"70","JW078.metabat.14","pAcidobacteriota"
"71","JW078.metabat.15","pAcidobacteriota"
"94","JW121.metabat.3","pAcidobacteriota"
"98","JW130.metabat.1","pAcidobacteriota"
"99","JW130.metabat.3","pAcidobacteriota"
"103","JW135.metabat.1","pAcidobacteriota"
"104","JW135.metabat.3","pAcidobacteriota"
"105","JW138.metabat.2","pAcidobacteriota"
"106","JW138.metabat.7","pAcidobacteriota"
"110","JW144.metabat.6","pAcidobacteriota"
"115","JW149.metabat.5","pAcidobacteriota"
"124","JW155.metabat.7","pAcidobacteriota"
"125","JW155.metabat.9","pAcidobacteriota"
"127","JW159.metabat.5","pAcidobacteriota"
"1","JW002.metabat.12","pActinobacteriota"
"2","JW011.metabat.2","pActinobacteriota"
"4","JW013.maxbin.001","pActinobacteriota"
"5","JW013.metabat.14","pActinobacteriota"
"11","JW016.metabat.18","pActinobacteriota"
"14","JW016.metabat.30","pActinobacteriota"
"15","JW016.metabat.35","pActinobacteriota"
"18","JW017.metabat.18","pActinobacteriota"
"19","JW017.metabat.19","pActinobacteriota"
"22","JW018.metabat.12","pActinobacteriota"
"23","JW018.metabat.13","pActinobacteriota"
"24","JW018.metabat.7","pActinobacteriota"
"27","JW022.metabat.5","pActinobacteriota"
"29","JW023.metabat.4","pActinobacteriota"
"31","JW025.metabat.2","pActinobacteriota"
"32","JW026.metabat.4","pActinobacteriota"
"34","JW027.maxbin.001","pActinobacteriota"
"35","JW029.maxbin.001","pActinobacteriota"
"42","JW031.metabat.8","pActinobacteriota"
"43","JW032.maxbin.001","pActinobacteriota"
"45","JW032.metabat.2","pActinobacteriota"
"52","JW036.metabat.9","pActinobacteriota"
"54","JW040.metabat.11","pActinobacteriota"
"56","JW044.metabat.15","pActinobacteriota"
"57","JW045.metabat.7","pActinobacteriota"
"60","JW048.maxbin.001_sub","pActinobacteriota"
"61","JW048.metabat.1","pActinobacteriota"
"63","JW057.metabat.5","pActinobacteriota"
"66","JW075.metabat.3","pActinobacteriota"
"67","JW076.maxbin.003","pActinobacteriota"
"68","JW076.metabat.10","pActinobacteriota"
"69","JW076.metabat.4","pActinobacteriota"
"72","JW078.metabat.24","pActinobacteriota"
"73","JW078.metabat.3","pActinobacteriota"
"75","JW082.metabat.6","pActinobacteriota"
"77","JW084.maxbin.003","pActinobacteriota"
"78","JW087.maxbin.001","pActinobacteriota"
"80","JW094.metabat.1","pActinobacteriota"
"84","JW103.maxbin.001","pActinobacteriota"
"85","JW107.metabat.1","pActinobacteriota"
"88","JW114.metabat.4","pActinobacteriota"
"89","JW114.metabat.7","pActinobacteriota"
"93","JW119.metabat.1","pActinobacteriota"
"97","JW129.metabat.8","pActinobacteriota"
"100","JW131.metabat.4","pActinobacteriota"
"102","JW134.metabat.2_sub","pActinobacteriota"
"107","JW141.metabat.1","pActinobacteriota"
"108","JW141.metabat.5","pActinobacteriota"
"109","JW143.metabat.9","pActinobacteriota"
"112","JW147.metabat.2","pActinobacteriota"
"113","JW148.maxbin.001","pActinobacteriota"
"116","JW149.metabat.9","pActinobacteriota"
"117","JW151.maxbin.002_sub","pActinobacteriota"
"118","JW151.metabat.1","pActinobacteriota"
"119","JW151.metabat.12","pActinobacteriota"
"120","JW151.metabat.7","pActinobacteriota"
"121","JW153.metabat.6","pActinobacteriota"
"123","JW155.metabat.5","pActinobacteriota"
"126","JW156.metabat.6","pActinobacteriota"
"128","JW163.metabat.1","pActinobacteriota"
"129","JW163.metabat.5","pActinobacteriota"
"38","JW031.metabat.21","pBacteroidota"
"6","JW016.maxbin.004","pChloroflexota"
"7","JW016.maxbin.009_sub","pChloroflexota"
"8","JW016.metabat.11_sub","pChloroflexota"
"9","JW016.metabat.15","pChloroflexota"
"12","JW016.metabat.24_sub","pChloroflexota"
"16","JW016.metabat.5_sub","pChloroflexota"
"17","JW017.metabat.16","pChloroflexota"
"20","JW017.metabat.6","pChloroflexota"
"25","JW020.maxbin.002_sub","pChloroflexota"
"26","JW020.metabat.5","pChloroflexota"
"36","JW031.metabat.11","pChloroflexota"
"39","JW031.metabat.24","pChloroflexota"
"49","JW036.metabat.15","pChloroflexota"
"21","JW018.maxbin.004","pCyanobacteria"
"33","JW026.metabat.7","pCyanobacteria"
"41","JW031.metabat.6","pDeinococcota"
"44","JW032.metabat.12","pDeinococcota"
"55","JW044.maxbin.029","pDeinococcota"
"13","JW016.metabat.27_sub","pDormibacterota"
"37","JW031.metabat.15","pGemmatimonadota"
"46","JW032.metabat.5","pGemmatimonadota"
"47","JW035.maxbin.001","pGemmatimonadota"
"48","JW036.metabat.10","pGemmatimonadota"
"50","JW036.metabat.16","pGemmatimonadota"
"51","JW036.metabat.6","pGemmatimonadota"
"74","JW082.metabat.4","pGemmatimonadota"
"10","JW016.metabat.16_sub","pProteobacteria"
"28","JW022.metabat.9","pProteobacteria"
"40","JW031.metabat.3","pProteobacteria"
"53","JW040.metabat.1","pProteobacteria"
