"fasta","gene_position","start_position","end_position","strandedness","rank","kegg_id","kegg_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW016.maxbin.004",38,37511,38797,-1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__","GCA_002413265.1","95.0","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__UBA5177 sp002413265","76.89","0.1","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",74.27,11,0.895598039165033,"N/A"
"JW016.maxbin.009_sub",11,11940,13208,1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__","GCA_013815535.1","95.0","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535","75.42","0.03","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",69.54,11,0.686623564387671,"N/A"
"JW016.maxbin.009_sub",1,3,1247,-1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__","GCA_013815535.1","95.0","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535","75.42","0.03","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",69.54,11,0.686623564387671,"N/A"
"JW016.metabat.11_sub",1,42,1295,-1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CADDYT01;s__","GCA_902810755.1","95.0","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CADDYT01;s__CADDYT01 sp902810755","78.43","0.47","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CADDYT01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",38.24,11,0.905604090724338,"N/A"
"JW016.metabat.24_sub",31,32476,33756,-1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",77.8,11,0.75962576366265,"N/A"
"JW016.metabat.27_sub",6,4777,6051,1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__CADDZO01;s__","GCA_902812395.1","95.0","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__CADDZO01;s__CADDZO01 sp902812395","75.92","0.12","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__CADDZO01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",40.37,11,0.885742216173305,"N/A"
"JW016.metabat.5_sub",4,2151,3437,-1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",68.59,11,0.773340402980918,"N/A"
"JW017.metabat.16",11,10172,11437,-1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__","GCA_013821605.1","95.0","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__JACDGP01 sp013821605","76.12","0.04","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",80.32,11,0.84718876413839,"N/A"
"JW018.metabat.13",4,3546,4967,1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_019247245.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp019247245","84.67","0.6","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 78.0, 0.25; GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 77.41, 0.27; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 77.36, 0.27; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 77.35, 0.24; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.35, 0.18; GCA_902806055.1, s__SCSIO-52915 sp902806055, 95.0, 77.24, 0.23; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 77.22, 0.17; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 77.06, 0.19; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 76.55, 0.15",87.53,11,0.95847028089405,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW020.maxbin.002_sub",2,1254,2519,-1,"C","K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.23]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.20]",NA,"d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__;s__","GCA_013821605.1","95.0","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__JACDGP01 sp013821605","75.72","0.05","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",51.27,11,0.842427287596682,"N/A"
