"fasta","scaffold","gene_position","start_position","end_position","strandedness","rank","kegg_id","kegg_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW002.metabat.12","NODE_183_length_10387_cov_8.164828",7,5025,6275,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",68.29,11,0.709501094532071,"N/A"
"JW013.maxbin.001","NODE_196_length_17040_cov_27.119458",9,9576,10838,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.31","0.4","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.46, 0.25; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.38, 0.25; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.37, 0.23; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.28, 0.23; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.22, 0.23; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.19; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.18, 0.2; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.11, 0.2; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.11, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 76.9, 0.22; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 76.88, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.87, 0.24; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.8, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.71, 0.19; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.47, 0.13; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.33, 0.15; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.12, 0.11",65.79,11,0.968528954619397,"N/A"
"JW016.metabat.18","NODE_195_length_27157_cov_9.705963",18,17979,19241,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.29","0.41","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.55, 0.28; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.39, 0.21; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.36, 0.22; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.3, 0.18; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.27, 0.24; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.23, 0.2; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.22, 0.26; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 77.21, 0.19; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.17; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.04, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 77.0, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.98, 0.22; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.92, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.67, 0.22; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.62, 0.14; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.44, 0.14; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.33, 0.11",66.16,11,0.968270970646317,"N/A"
"JW016.metabat.24_sub","NODE_1810_length_9929_cov_20.908041",4,2201,3463,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",77.8,11,0.75962576366265,"N/A"
"JW017.metabat.16","NODE_1324_length_8024_cov_6.960848",6,3576,4862,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__","GCA_013821605.1","95.0","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__JACDGP01 sp013821605","76.12","0.04","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",80.32,11,0.84718876413839,"N/A"
"JW017.metabat.18","NODE_31_length_39633_cov_17.421446",30,32028,33311,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__","GCF_000576575.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__Intrasporangium_A chromatireducens","86.28","0.66","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",47.08,11,0.961529844231008,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW017.metabat.19","NODE_189_length_22526_cov_7.046460",7,5343,6611,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__","GCA_002748415.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__GCA-002748415;s__GCA-002748415 sp002748415","76.67","0.12","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",36.34,11,0.713390922598975,"N/A"
"JW018.maxbin.004","NODE_239_length_21523_cov_6.278740",14,15733,17037,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__FACHB-SPT15;s__","GCF_014849525.1","95.0","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__FACHB-SPT15;s__FACHB-SPT15 sp014849525","79.23","0.4","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__FACHB-SPT15;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",69.74,11,0.888709120378418,"N/A"
"JW018.metabat.7","NODE_730_length_10291_cov_12.258109",5,2480,3739,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","ANI","classification based on placement in class-level tree","GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 78.44, 0.34; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 78.41, 0.33; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 78.34, 0.35; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 78.23, 0.32; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 78.2, 0.29; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 78.14, 0.27; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 78.06, 0.32; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 78.05, 0.3; GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 78.03, 0.29; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 77.93, 0.25; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.92, 0.28; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.86, 0.31; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.84, 0.33; GCA_019247075.1, s__Palsa-465 sp019247075, 95.0, 77.58, 0.23; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 77.38, 0.19; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 77.08, 0.22; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.97, 0.14; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.9, 0.2",53.87,11,0.918913532658843,"N/A"
"JW020.metabat.5","NODE_1178_length_3821_cov_3.765268",2,2072,3346,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",45.89,11,0.750078582468866,"N/A"
