"fasta","gene_position","start_position","end_position","rank","kegg_id","kegg_hit","peptidase_id","peptidase_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW002.metabat.12",1,3,2633,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"UvrA interaction domain [PF17760.3]; UvrA DNA-binding domain [PF17755.3]; ABC transporter [PF00005.29]",NA,"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",68.29,11,0.709501094532071,"N/A"
"JW002.metabat.12",1,2,1843,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"ABC transporter [PF00005.29]; RecF/RecN/SMC N terminal domain [PF02463.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",68.29,11,0.709501094532071,"N/A"
"JW003.metabat.1",2,695,3562,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"UvrA interaction domain [PF17760.3]; UvrA DNA-binding domain [PF17755.3]; ABC transporter [PF00005.29]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JW013.maxbin.001",4,1581,4460,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"UvrA interaction domain [PF17760.3]; UvrA DNA-binding domain [PF17755.3]; ABC transporter [PF00005.29]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.31","0.4","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.46, 0.25; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.38, 0.25; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.37, 0.23; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.28, 0.23; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.22, 0.23; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.19; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.18, 0.2; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.11, 0.2; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.11, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 76.9, 0.22; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 76.88, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.87, 0.24; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.8, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.71, 0.19; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.47, 0.13; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.33, 0.15; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.12, 0.11",65.79,11,0.968528954619397,"N/A"
"JW013.metabat.14",2,1008,3944,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"UvrA interaction domain [PF17760.3]; UvrA DNA-binding domain [PF17755.3]; ABC transporter [PF00005.29]",NA,"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__;s__","GCA_005884125.1","95.0","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__AC-35;s__AC-35 sp005884125","78.04","0.38","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",36.78,11,0.710103197811921,"N/A"
"JW016.maxbin.004",15,14298,17195,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"UvrA interaction domain [PF17760.3]; UvrA DNA-binding domain [PF17755.3]; ABC transporter [PF00005.29]",NA,"d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__","GCA_002413265.1","95.0","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__UBA5177 sp002413265","76.89","0.1","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",74.27,11,0.895598039165033,"N/A"
"JW016.maxbin.004",4,1937,4831,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"UvrA interaction domain [PF17760.3]; UvrA DNA-binding domain [PF17755.3]; ABC transporter [PF00005.29]",NA,"d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__","GCA_002413265.1","95.0","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__UBA5177 sp002413265","76.89","0.1","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__UBA5177;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",74.27,11,0.895598039165033,"N/A"
"JW016.maxbin.009_sub",3,2404,3960,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"ABC transporter [PF00005.29]",NA,"d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__","GCA_013815535.1","95.0","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535","75.42","0.03","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",69.54,11,0.686623564387671,"N/A"
"JW016.metabat.18",23,18585,21464,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"UvrA interaction domain [PF17760.3]; UvrA DNA-binding domain [PF17755.3]; ABC transporter [PF00005.29]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.29","0.41","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.55, 0.28; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.39, 0.21; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.36, 0.22; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.3, 0.18; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.27, 0.24; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.23, 0.2; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.22, 0.26; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 77.21, 0.19; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.17; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.04, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 77.0, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.98, 0.22; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.92, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.67, 0.22; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.62, 0.14; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.44, 0.14; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.33, 0.11",66.16,11,0.968270970646317,"N/A"
"JW016.metabat.27_sub",6,5322,8228,"C","K03701","excinuclease ABC subunit A",NA,NA,NA,"UvrA interaction domain [PF17760.3]; UvrA DNA-binding domain [PF17755.3]; ABC transporter [PF00005.29]",NA,"d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__CADDZO01;s__","GCA_902812395.1","95.0","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__CADDZO01;s__CADDZO01 sp902812395","75.92","0.12","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__CADDZO01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",40.37,11,0.885742216173305,"N/A"
