"MAG","Why_domain"
"JW012.maxbin.002",1
"JW031.metabat.14",1
"JW031.metabat.15",1
"JW031.metabat.15",1
"JW031.metabat.6",1
"JW032.metabat.5",1
"JW035.maxbin.001",1
"JW035.maxbin.001",1
"JW036.metabat.10",1
"JW036.metabat.10",1
"JW036.metabat.16",1
"JW036.metabat.6",1
"JW078.metabat.15",1
"JW082.metabat.4",1
"JW135.metabat.3",1
"JW138.metabat.2",1
"JW149.metabat.5",1
"JW159.metabat.5",1
