"genes","functions"
"TPS","Synthesizes trehalose-6-phosphate"
"TPP","Converts trehalose-6-phosphate to trehalose"
"TreS","Converts maltose to trehalose"
"HSP70","Chaperone that helps proteins fold correctly under heat or stress"
"HSP60","Assists folding of stress-denatured proteins"
"ClpB","Disaggregates misfolded proteins and helps refolding"
"HSP23","stabilizes proteins and membranes under stress"
"GroES","Co-chaperonin that assists GroEL in protein folding"
"ectoine synthase","Catalyzes ectoine biosynthesis"
"proA","Catalyzes step in proline biosynthesis"
"proB","Catalyzes step in proline biosynthesis"
"proC","Final step in proline biosynthesis"
"recA","Central protein in homologous recombination and DNA repair"
"uvrA","Recognizes DNA damage in nucleotide excision repair"
"uvrB","excision of damaged DNA in nucleotide excision repair"
"uvrC","removes damaged DNA during nucleotide excision repair"
"MtlD","Mannitol biosynthesis, acting as an osmoprotectant"
"WHy domain","stabilizes proteins and membranes"
"katE","Breaks down hydrogen peroxide, reducing oxidative stress"
"katG","Detoxifies hydrogen peroxide"
"SOD1","Converts superoxide radicals into less harmful molecules"
"ahpC","Reduces peroxides and protects against oxidative stress"
"LEA","stabilizes proteins and membranes under desiccation and stress"
