"fasta","gene_position","start_position","end_position","rank","kegg_id","kegg_hit","peptidase_id","peptidase_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW002.metabat.12",5,4715,6685,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",68.29,11,0.709501094532071,"N/A"
"JW011.metabat.2",5,2801,4348,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]; FAD dependent oxidoreductase [PF01266.26]; Thi4 family [PF01946.19]; Lycopene cyclase protein [PF05834.14]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52909;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52909;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_902812425.1, s__SCSIO-52909 sp902812425, 95.0, 79.36, 0.48; GCA_902806095.1, s__SCSIO-52909 sp902806095, 95.0, 79.15, 0.5; GCA_013698525.1, s__SCSIO-52909 sp013698525, 95.0, 78.63, 0.33; GCA_016781725.1, s__SCSIO-52909 sp016781725, 95.0, 78.29, 0.27; GCA_902806085.1, s__SCSIO-52909 sp902806085, 95.0, 78.06, 0.36; GCF_011492945.1, s__SCSIO-52909 sp011492945, 95.0, 77.72, 0.33; GCA_013815575.1, s__SCSIO-52909 sp013815575, 95.0, 77.48, 0.2; GCA_902805975.1, s__SCSIO-52909 sp902805975, 95.0, 77.33, 0.27; GCA_902805985.1, s__SCSIO-52909 sp902805985, 95.0, 77.29, 0.28; GCA_902806015.1, s__SCSIO-52909 sp902806015, 95.0, 77.24, 0.25",43.98,11,0.952113192517218,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW012.maxbin.002",2,2058,3812,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__","GCA_019244185.1","95.0","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__QHVT01 sp019244185","79.75","0.56","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__QHVT01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_003223645.1, s__QHVT01 sp003223645, 95.0, 79.27, 0.46; GCA_019242175.1, s__QHVT01 sp019242175, 95.0, 77.74, 0.32; GCA_017883215.1, s__QHVT01 sp017883215, 95.0, 77.47, 0.19; GCA_016650215.1, s__QHVT01 sp016650215, 95.0, 77.37, 0.21",46.37,11,0.953227041318564,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW013.maxbin.001",19,19968,21629,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA8 Iron reductase domain [AA8]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.31","0.4","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.46, 0.25; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.38, 0.25; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.37, 0.23; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.28, 0.23; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.22, 0.23; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.19; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.18, 0.2; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.11, 0.2; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.11, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 76.9, 0.22; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 76.88, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.87, 0.24; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.8, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.71, 0.19; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.47, 0.13; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.33, 0.15; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.12, 0.11",65.79,11,0.968528954619397,"N/A"
"JW013.maxbin.001",4,1974,3560,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA8 Iron reductase domain [AA8]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.31","0.4","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.46, 0.25; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.38, 0.25; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.37, 0.23; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.28, 0.23; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.22, 0.23; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.19; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.18, 0.2; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.11, 0.2; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.11, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 76.9, 0.22; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 76.88, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.87, 0.24; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.8, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.71, 0.19; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.47, 0.13; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.33, 0.15; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.12, 0.11",65.79,11,0.968528954619397,"N/A"
"JW016.maxbin.009_sub",2,519,2129,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA8 Iron reductase domain [AA8]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__","GCA_013815535.1","95.0","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__JACDGC01;g__JACDGC01;s__JACDGC01 sp013815535","75.42","0.03","d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",69.54,11,0.686623564387671,"N/A"
"JW016.metabat.15",2,975,2705,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]; Lycopene cyclase protein [PF05834.14]; FAD dependent oxidoreductase [PF01266.26]; Thi4 family [PF01946.19]; HI0933-like protein [PF03486.16]; FAD binding domain [PF01494.21]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; GDP dissociation inhibitor [PF00996.20]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; FAD binding domain [PF00890.26]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Nitrolancea;s__","GCF_000297255.1","95.0","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Nitrolancea;s__Nitrolancea hollandica","76.13","0.06","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Nitrolancea;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",55,11,0.847065864525937,"N/A"
"JW016.metabat.15",2,1733,3253,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]; FAD dependent oxidoreductase [PF01266.26]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA8 Iron reductase domain [AA8]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Nitrolancea;s__","GCF_000297255.1","95.0","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Nitrolancea;s__Nitrolancea hollandica","76.13","0.06","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Nitrolancea;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",55,11,0.847065864525937,"N/A"
"JW016.metabat.16_sub",2,906,2540,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]; Lycopene cyclase protein [PF05834.14]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA8 Iron reductase domain [AA8]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","GCA_003151425.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__Palsa-883 sp003151425","78.31","0.48","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",52.64,11,0.902198980795796,"N/A"
"JW016.metabat.16_sub",5,1795,3447,"C","K00108","choline dehydrogenase [EC:1.1.99.1]",NA,NA,NA,"GMC oxidoreductase [PF00732.21]; GMC oxidoreductase [PF05199.15]; Lycopene cyclase protein [PF05834.14]","AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3]; AA8 Iron reductase domain [AA8]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_1]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_2]; AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10) [AA3_3]","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","GCA_003151425.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__Palsa-883 sp003151425","78.31","0.48","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",52.64,11,0.902198980795796,"N/A"
